row_num,id,answer,selected_detail_id,selected_detail_url,selected_title,status,note_or_source
2,0001,フシギダネ,0001,https://zukan.pokemon.co.jp/detail/0001,フシギダネ,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/7b705082db2e24dd4ba25166dac84e0a.png
3,0002,フシギソウ,0002,https://zukan.pokemon.co.jp/detail/0002,フシギソウ,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/6f8144eb4659537733b930d6a299d5a7.png
4,0003,フシギバナ,0003,https://zukan.pokemon.co.jp/detail/0003,フシギバナ,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/ebccfe6f2ccfe2e851fd29739bf6220c.png
5,0004,ヒトカゲ,0004,https://zukan.pokemon.co.jp/detail/0004,ヒトカゲ,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/89953014f442146518ef45787d9bb0a4.png
6,0005,リザード,0005,https://zukan.pokemon.co.jp/detail/0005,リザード,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/f11e83606acc0f5a7aa3b7235a373087.png
7,0006,リザードン,0006,https://zukan.pokemon.co.jp/detail/0006,リザードン,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/42062cbeca16839af3efe8a7d61ceb27a30f758b.png
8,0007,ゼニガメ,0007,https://zukan.pokemon.co.jp/detail/0007,ゼニガメ,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/17388b7f608671656716ab509ee0fa05.png
9,0008,カメール,0008,https://zukan.pokemon.co.jp/detail/0008,カメール,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/7c861520e0eb69f872a4e13a9f04eaba.png
10,0009,カメックス,0009,https://zukan.pokemon.co.jp/detail/0009,カメックス,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/81d2cf3830b75053da5b39dc22aa9a27.png
11,0010,キャタピー,0010,https://zukan.pokemon.co.jp/detail/0010,キャタピー,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/e97edb1243b8cb641186391489eaf2ee.png
12,0011,トランセル,0011,https://zukan.pokemon.co.jp/detail/0011,トランセル,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/f836c66e2fb51a54a2af3af4a7ee7583.png
13,0012,バタフリー,0012,https://zukan.pokemon.co.jp/detail/0012,バタフリー,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/4df848214983ca8731ecdcb0ebce9d50.png
14,0013,ビードル,0013,https://zukan.pokemon.co.jp/detail/0013,ビードル,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/1e553bacdabb816e6cc07cf68160bed3.png
15,0014,コクーン,0014,https://zukan.pokemon.co.jp/detail/0014,コクーン,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/e808242baaed1161df1f7361b91b25d8.png
16,0015,スピアー,0015,https://zukan.pokemon.co.jp/detail/0015,スピアー,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/793c7baad51f915c185abe80f6502502.png
17,0016,ポッポ,0016,https://zukan.pokemon.co.jp/detail/0016,ポッポ,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/9ffa1820513c085c448ee9f884c4991a.png
18,0017,ピジョン,0017,https://zukan.pokemon.co.jp/detail/0017,ピジョン,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/5f09d82833710f6c829369835336d7e8.png
19,0018,ピジョット,0018,https://zukan.pokemon.co.jp/detail/0018,ピジョット,downloaded,img:https://zukan.pokemon.co.jp/zukan-api/up/images/index/ad8eb3e08de6bface07c2e390ffb4e86.png
